Date,Time_ms,X_px,Y_px,Epoch,Block,TrialNumInBlock,Attempt,RZ2Idx
12-09-2026,2260.11896133423,960,498.697531052583,3,1,1,1,NaN
12-09-2026,2267.52710342407,960,498.697531052583,3,1,1,1,NaN
12-09-2026,2276.70097351074,960,498.697531052583,3,1,1,1,NaN
12-09-2026,2284.2230796814,960,498.697531052583,3,1,1,1,NaN
12-09-2026,2293.20096969604,960,498.697531052583,3,1,1,1,NaN
12-09-2026,2300.77791213989,960,498.697531052583,3,1,1,1,NaN
12-09-2026,2309.75198745728,960,498.697531052583,3,1,1,1,NaN
12-09-2026,2317.55590438843,960,498.697531052583,3,1,1,1,NaN
12-09-2026,2326.54595375061,960,500.539994506668,3,1,1,1,NaN
12-09-2026,2334.2010974884,960,500.539994506668,3,1,1,1,NaN
12-09-2026,2343.22905540466,960,500.539994506668,3,1,1,1,NaN
12-09-2026,2350.90303421021,960,500.539994506668,3,1,1,1,NaN
12-09-2026,2359.91096496582,960,500.539994506668,3,1,1,1,NaN
12-09-2026,2367.53511428833,960,500.539994506668,3,1,1,1,NaN
12-09-2026,2376.56307220459,960,502.361033967101,3,1,1,1,NaN
12-09-2026,2384.22107696533,960,502.361033967101,3,1,1,1,NaN
12-09-2026,2393.30196380615,960,506.003112887967,3,1,1,1,NaN
12-09-2026,2400.89201927185,960,507.824152348399,3,1,1,1,NaN
12-09-2026,2410.02798080444,960,509.645191808832,3,1,1,1,NaN
12-09-2026,2417.65093803406,960,511.466231269265,3,1,1,1,NaN
12-09-2026,2426.70893669128,960,513.287270729698,3,1,1,1,NaN
12-09-2026,2434.23795700073,960,515.10831019013,3,1,1,1,NaN
12-09-2026,2443.32003593445,960,518.771813104648,3,1,1,1,NaN
12-09-2026,2450.91199874878,960,522.413892025514,3,1,1,1,NaN
12-09-2026,2459.86199378967,960,522.413892025514,3,1,1,1,NaN
12-09-2026,2467.58103370667,960,526.055970946379,3,1,1,1,NaN
12-09-2026,2476.53698921204,960,529.698049867244,3,1,1,1,NaN
12-09-2026,2484.23910140991,960,533.361552781762,3,1,1,1,NaN
12-09-2026,2493.32308769226,960,537.003631702628,3,1,1,1,NaN
12-09-2026,2500.86998939514,960,540.645710623493,3,1,1,1,NaN
12-09-2026,2509.95206832886,960,540.645710623493,3,1,1,1,NaN
12-09-2026,2517.49992370605,960,540.645710623493,3,1,1,1,NaN
12-09-2026,2526.46994590759,960,540.645710623493,3,1,1,1,NaN
12-09-2026,2534.19303894043,960,542.466750083926,3,1,1,1,NaN
12-09-2026,2543.1170463562,960,542.466750083926,3,1,1,1,NaN
12-09-2026,2550.8930683136,960,542.466750083926,3,1,1,1,NaN
12-09-2026,2560.07599830627,960,542.466750083926,3,1,1,1,NaN
12-09-2026,2567.5311088562,960,542.466750083926,3,1,1,1,NaN
12-09-2026,2576.59506797791,960,542.466750083926,3,1,1,1,NaN
12-09-2026,2584.24091339111,960,542.466750083926,3,1,1,1,NaN
12-09-2026,2593.18208694458,960,542.466750083926,3,1,1,1,NaN
12-09-2026,2600.76999664307,960,542.466750083926,3,1,1,1,NaN
12-09-2026,2609.61890220642,960,542.466750083926,3,1,1,1,NaN
12-09-2026,2617.61403083801,960,542.466750083926,3,1,1,1,NaN
12-09-2026,2626.77597999573,960,542.466750083926,3,1,1,1,NaN
12-09-2026,2634.23013687134,960,542.466750083926,3,1,1,1,NaN
12-09-2026,2643.27001571655,960,542.466750083926,3,1,1,1,NaN
12-09-2026,2650.87103843689,960,542.466750083926,3,1,1,1,NaN
12-09-2026,2659.88397598267,960,542.466750083926,3,1,1,1,NaN
12-09-2026,2667.56510734558,960,542.466750083926,3,1,1,1,NaN
12-09-2026,2676.6300201416,960,542.466750083926,3,1,1,1,NaN
12-09-2026,2684.22198295593,960,542.466750083926,3,1,1,1,NaN
12-09-2026,2693.28808784485,960,542.466750083926,3,1,1,1,NaN
12-09-2026,2700.77800750732,960,542.466750083926,3,1,1,1,NaN
12-09-2026,2710.01410484314,960,542.466750083926,3,1,1,1,NaN
12-09-2026,2717.51713752747,960,542.466750083926,3,1,1,1,NaN
12-09-2026,2726.54008865356,960,542.466750083926,3,1,1,1,NaN
12-09-2026,2734.15613174438,960,542.466750083926,3,1,1,1,NaN
12-09-2026,2743.18194389343,960,542.466750083926,3,1,1,1,NaN
12-09-2026,2750.85401535034,960,542.466750083926,3,1,1,1,NaN
12-09-2026,2759.84811782837,960,542.466750083926,3,1,1,1,NaN
12-09-2026,2767.54903793335,960,542.466750083926,3,1,1,1,NaN
12-09-2026,2776.67903900146,960,542.466750083926,3,1,1,1,NaN
12-09-2026,2784.23094749451,960,542.466750083926,3,1,1,1,NaN
12-09-2026,2793.26891899109,960,542.466750083926,3,1,1,1,NaN
12-09-2026,2800.76193809509,960,542.466750083926,3,1,1,1,NaN
12-09-2026,2809.96990203857,960,542.466750083926,3,1,1,1,NaN
12-09-2026,2817.47698783875,960,542.466750083926,3,1,1,1,NaN
12-09-2026,2826.45606994629,960,542.466750083926,3,1,1,1,NaN
12-09-2026,2834.18893814087,960,542.466750083926,3,1,1,1,NaN
12-09-2026,2843.22309494019,960,542.466750083926,3,1,1,1,NaN
12-09-2026,2850.86894035339,960,542.466750083926,3,1,1,1,NaN
12-09-2026,2860.02206802368,960,542.466750083926,3,1,1,1,NaN
12-09-2026,2867.5549030304,960,542.466750083926,3,1,1,1,NaN
12-09-2026,2876.76095962524,960,542.466750083926,3,1,1,1,NaN
12-09-2026,2884.15813446045,960,542.466750083926,3,1,1,1,NaN
12-09-2026,2893.38707923889,960,542.466750083926,3,1,1,1,NaN
12-09-2026,2900.84791183472,960,542.466750083926,3,1,1,1,NaN
12-09-2026,2910.1231098175,960,542.466750083926,3,1,1,1,NaN
12-09-2026,2918.34902763367,960,542.466750083926,3,1,1,1,NaN
12-09-2026,2927.43706703186,960,542.466750083926,3,1,1,1,NaN
12-09-2026,2934.34500694275,960,542.466750083926,3,1,1,1,NaN
12-09-2026,2943.52602958679,960,542.466750083926,3,1,1,1,NaN
12-09-2026,2950.99997520447,960,542.466750083926,3,1,1,1,NaN
12-09-2026,2960.05010604858,960,542.466750083926,3,1,1,1,NaN
12-09-2026,2967.56505966187,960,542.466750083926,3,1,1,1,NaN
12-09-2026,2976.74703598022,960,542.466750083926,3,1,1,1,NaN
12-09-2026,2984.18211936951,960,542.466750083926,3,1,1,1,NaN
12-09-2026,2993.33000183105,960,542.466750083926,3,1,1,1,NaN
12-09-2026,3000.85306167603,960,542.466750083926,3,1,1,1,NaN
12-09-2026,3009.89890098572,960,542.466750083926,3,1,1,1,NaN
12-09-2026,3017.5359249115,960,542.466750083926,3,1,1,1,NaN
12-09-2026,3026.59201622009,960,542.466750083926,3,1,1,1,NaN
12-09-2026,3034.17491912842,960,542.466750083926,3,1,1,1,NaN
12-09-2026,3043.28894615173,960,542.466750083926,3,1,1,1,NaN
12-09-2026,3050.86612701416,960,542.466750083926,3,1,1,1,NaN
12-09-2026,3059.9000453949,960,542.466750083926,3,1,1,1,NaN
12-09-2026,3067.49796867371,960,542.466750083926,3,1,1,1,NaN
12-09-2026,3076.50804519653,960,542.466750083926,3,1,1,1,NaN
12-09-2026,3084.17892456055,960,542.466750083926,3,1,1,1,NaN
12-09-2026,3093.2149887085,960,542.466750083926,3,1,1,1,NaN
12-09-2026,3100.74996948242,960,542.466750083926,3,1,1,1,NaN
12-09-2026,3109.61198806763,960,542.466750083926,3,1,1,1,NaN
12-09-2026,3117.41805076599,960,542.466750083926,3,1,1,1,NaN
12-09-2026,3126.2640953064,960,542.466750083926,3,1,1,1,NaN
12-09-2026,3134.0799331665,960,542.466750083926,3,1,1,1,NaN
12-09-2026,3142.93003082275,960,542.466750083926,3,1,1,1,NaN
12-09-2026,3150.74110031128,960,542.466750083926,3,1,1,1,NaN
12-09-2026,3159.56497192383,960,542.466750083926,3,1,1,1,NaN
12-09-2026,3167.4280166626,960,542.466750083926,3,1,1,1,NaN
12-09-2026,3176.64194107056,960,542.466750083926,3,1,1,1,NaN
12-09-2026,3184.17596817017,960,542.466750083926,3,1,1,1,NaN
12-09-2026,3193.32909584045,960,542.466750083926,3,1,1,1,NaN
12-09-2026,3200.88696479797,960,542.466750083926,3,1,1,1,NaN
12-09-2026,3209.86795425415,960,542.466750083926,3,1,1,1,NaN
12-09-2026,3217.4220085144,960,542.466750083926,3,1,1,1,NaN
12-09-2026,3226.27592086792,960,542.466750083926,3,1,1,1,NaN
12-09-2026,3235.28790473938,960,542.466750083926,4,1,1,1,NaN
12-09-2026,3244.09508705139,960,542.466750083926,4,1,1,1,NaN
12-09-2026,3250.87809562683,960,542.466750083926,4,1,1,1,NaN
12-09-2026,3260.01405715942,960,542.466750083926,4,1,1,1,NaN
12-09-2026,3267.52090454102,960,542.466750083926,4,1,1,1,NaN
12-09-2026,3276.70407295227,960,542.466750083926,4,1,1,1,NaN
12-09-2026,3284.23309326172,960,542.466750083926,4,1,1,1,NaN
12-09-2026,3293.36500167847,960,542.466750083926,4,1,1,1,NaN
12-09-2026,3300.7709980011,960,542.466750083926,4,1,1,1,NaN
12-09-2026,3309.61608886719,960,542.466750083926,4,1,1,1,NaN
12-09-2026,3317.43407249451,960,542.466750083926,4,1,1,1,NaN
12-09-2026,3326.28798484802,960,542.466750083926,4,1,1,1,NaN
12-09-2026,3334.19108390808,960,542.466750083926,4,1,1,1,NaN
12-09-2026,3343.2240486145,960,542.466750083926,4,1,1,1,NaN
12-09-2026,3350.84700584412,960,542.466750083926,4,1,1,1,NaN
12-09-2026,3359.99393463135,960,542.466750083926,4,1,1,1,NaN
12-09-2026,3367.45405197144,960,542.466750083926,4,1,1,1,NaN
