Date,Time_ms,X_px,Y_px,Epoch,Block,TrialNumInBlock,Attempt,RZ2Idx,MoveTime_ms
19-09-2026,922527.417182922,477.01748710593,504.182073427534,8,3,40,1,NaN,609.344005584717
19-09-2026,922534.726142883,477.01748710593,504.182073427534,8,3,40,1,NaN,616.652965545654
19-09-2026,922543.853998184,480.254890591143,507.824152348399,8,3,40,1,NaN,625.780820846558
19-09-2026,922551.471233368,489.967101046785,509.645191808832,8,3,40,1,NaN,633.398056030273
19-09-2026,922560.636997223,512.667012543107,511.466231269265,8,3,40,1,NaN,642.563819885254
19-09-2026,922568.084001541,535.36692403943,515.10831019013,8,3,40,1,NaN,650.010824203491
19-09-2026,922577.243089676,561.304239020966,518.771813104648,8,3,40,1,NaN,659.169912338257
19-09-2026,922584.648132324,590.478957487716,520.592852565081,8,3,40,1,NaN,666.574954986572
19-09-2026,922593.934059143,616.416272469253,520.592852565081,8,3,40,1,NaN,675.86088180542
19-09-2026,922601.343154907,639.078096865749,522.413892025514,8,3,40,1,NaN,683.26997756958
19-09-2026,922610.73923111,665.015411847285,522.413892025514,8,3,40,1,NaN,692.666053771973
19-09-2026,922618.040084839,687.715323343608,522.413892025514,8,3,40,1,NaN,699.966907501221
19-09-2026,922627.382040024,710.41523483993,522.413892025514,8,3,40,1,NaN,709.308862686157
19-09-2026,922634.733200073,733.115146336253,522.413892025514,8,3,40,1,NaN,716.660022735596
19-09-2026,922644.044160843,752.539567247536,522.413892025514,8,3,40,1,NaN,725.970983505249
19-09-2026,927717.815160751,960,542.466750083926,6,3,41,1,NaN,0
19-09-2026,927726.999998093,960,542.466750083926,6,3,41,1,NaN,9.18483734130859
19-09-2026,927734.528064728,960,542.466750083926,6,3,41,1,NaN,16.7129039764404
19-09-2026,927743.794202805,960,542.466750083926,6,3,41,1,NaN,25.9790420532227
19-09-2026,927751.110076904,960,542.466750083926,6,3,41,1,NaN,33.2949161529541
19-09-2026,927760.323047638,960,542.466750083926,6,3,41,1,NaN,42.5078868865967
19-09-2026,927767.789125443,960,542.466750083926,6,3,41,1,NaN,49.9739646911621
19-09-2026,927777.046203613,960,542.466750083926,6,3,41,1,NaN,59.2310428619385
19-09-2026,927784.4851017,960,542.466750083926,6,3,41,1,NaN,66.6699409484863
19-09-2026,927793.705224991,960,542.466750083926,6,3,41,1,NaN,75.890064239502
19-09-2026,927801.084041595,960,542.466750083926,6,3,41,1,NaN,83.2688808441162
19-09-2026,927810.319185257,960,542.466750083926,6,3,41,1,NaN,92.5040245056152
19-09-2026,927817.779064178,960,542.466750083926,6,3,41,1,NaN,99.963903427124
19-09-2026,927827.052116394,960,542.466750083926,6,3,41,1,NaN,109.2369556427
19-09-2026,927834.488153458,960,542.466750083926,6,3,41,1,NaN,116.672992706299
19-09-2026,927843.805074692,960,542.466750083926,6,3,41,1,NaN,125.98991394043
19-09-2026,927851.129055023,960,542.466750083926,6,3,41,1,NaN,133.313894271851
19-09-2026,927860.393047333,960,542.466750083926,6,3,41,1,NaN,142.577886581421
19-09-2026,927867.781162262,960,542.466750083926,6,3,41,1,NaN,149.96600151062
19-09-2026,927877.043008804,960,542.466750083926,6,3,41,1,NaN,159.227848052979
19-09-2026,927884.447097778,960,542.466750083926,6,3,41,1,NaN,166.631937026978
19-09-2026,927893.592119217,960,542.466750083926,6,3,41,1,NaN,175.776958465576
19-09-2026,927901.120185852,960,542.466750083926,6,3,41,1,NaN,183.305025100708
19-09-2026,927910.364151001,960,542.466750083926,6,3,41,1,NaN,192.548990249634
19-09-2026,927917.785167694,960,542.466750083926,6,3,41,1,NaN,199.970006942749
19-09-2026,927926.983118057,960,542.466750083926,6,3,41,1,NaN,209.167957305908
19-09-2026,927934.480190277,960,542.466750083926,6,3,41,1,NaN,216.665029525757
19-09-2026,927943.620204926,960,542.466750083926,6,3,41,1,NaN,225.805044174194
19-09-2026,927951.157093048,960,542.466750083926,6,3,41,1,NaN,233.341932296753
19-09-2026,927960.331201553,960,538.82467116306,6,3,41,1,NaN,242.516040802002
19-09-2026,927967.768192291,937.338175603503,535.182592242195,6,3,41,1,NaN,249.953031539917
19-09-2026,927977.006196976,878.988738670003,533.361552781762,6,3,41,1,NaN,259.191036224365
19-09-2026,927984.477043152,820.639301736503,533.361552781762,7,3,41,1,NaN,266.661882400513
19-09-2026,927993.849039078,768.764671773431,535.182592242195,7,3,41,1,NaN,276.033878326416
19-09-2026,928001.070022583,720.127445295572,540.645710623493,7,3,41,1,NaN,283.254861831665
19-09-2026,928010.214090347,678.003112887967,544.287789544359,7,3,41,1,NaN,292.398929595947
19-09-2026,928017.874002457,645.590990936003,547.929868465224,7,3,41,1,NaN,300.058841705322
19-09-2026,928027.070045471,619.653675954466,547.929868465224,7,3,41,1,NaN,309.254884719849
19-09-2026,928034.545183182,619.653675954466,547.929868465224,7,3,41,1,NaN,316.73002243042
19-09-2026,928043.830156326,616.416272469253,547.929868465224,7,3,41,1,NaN,326.014995574951
19-09-2026,928051.273107529,609.903378398999,547.929868465224,8,3,41,1,NaN,333.457946777344
19-09-2026,928060.531139374,606.665974913785,547.929868465224,8,3,41,1,NaN,342.715978622437
19-09-2026,928067.884206772,606.665974913785,547.929868465224,8,3,41,1,NaN,350.069046020508
19-09-2026,928077.040195465,600.191167943358,547.929868465224,8,3,41,1,NaN,359.225034713745
